Player,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,KDA,Avg. KAL,GPM,XPM,Last Hits,Denies,LVL,HD,TD,HH,GS
Shachlo,37,17,20,"45,95%",17,20,"3,05","4,41","10,86","3,54","3,16",374,423,132,4,18,10877,1006,405,11977
Unknown,48,22,26,"45,83%",13,35,"6,88","3,67","7,33","4,84","3,88",563,576,286,12,21,21914,3193,147,18777
Funn1k,48,22,26,"45,83%",19,29,"4,04","5,96","11,48","2,77","2,6",379,424,172,5,19,14645,1073,1099,12902
jonassomfan,118,54,64,"45,76%",70,48,"4,7","5,24","11,87","3,51","3,17",416,446,182,9,20,16675,1125,830,15479
Handsken,118,54,64,"45,76%",70,48,"2,96","5,83","13,62","3,31","2,84",273,321,51,3,17,8448,350,2514,10043
papita,121,55,66,"45,45%",59,62,"6,18","4,02","9,37","4,62","3,86",457,517,213,11,20,15829,1860,397,14726
Misha,66,30,36,"45,45%",32,34,"2,18","5,48","13,58","3,45","2,87",239,284,35,2,15,8108,225,1476,8201
Unknown,44,20,24,"45,45%",18,26,"2,98","5,73","13,07","2,77","2,8",244,332,38,2,17,9564,329,931,8954
J E I M A R I,44,20,24,"45,45%",21,23,"7,14","3,41","6,98","4,98","4,14",566,572,320,10,21,18199,3268,259,19273
Yri,64,29,35,"45,31%",29,35,"2,78","6,36","12,31","2,4","2,37",278,330,40,2,15,7756,267,714,8283
Benhur,84,38,46,"45,24%",39,45,"7,44","4,92","9,02","4,03","3,35",590,605,314,12,22,23892,2881,438,21110
JessieVash,84,38,46,"45,24%",39,45,"2,32","5,43","12,8","3,06","2,79",241,319,39,2,16,7472,144,1166,8518
Niqua,58,26,32,"44,83%",26,32,"4,48","6,45","13,29","3,02","2,76",391,482,210,12,20,22964,1097,331,14151
MEVIUS,56,25,31,"44,64%",25,31,"7,96","4,2","8,96","5,11","4,03",551,531,267,13,21,19155,4482,468,19428
RampaGe,83,37,46,"44,58%",38,45,"6,04","4,78","9,53","4,04","3,25",471,529,216,13,20,18587,1542,467,15085
Luobo,83,37,46,"44,58%",38,45,"3,76","6,16","12,76","3,18","2,68",295,361,45,1,17,9042,199,304,9778
canceL^^,92,41,51,"44,57%",28,64,"6,65","4,83","9,21","3,92","3,29",495,523,222,14,20,21317,2284,137,16131
Flyby,137,61,76,"44,53%",52,85,"5,72","4,23","9,06","4,3","3,5",508,505,256,14,21,17611,3354,401,17767
EatMan,45,20,25,"44,44%",22,23,"3,71","5,11","10,18","2,7","2,72",378,430,143,5,18,12370,687,990,11653
Mi meng-`vt,36,16,20,"44,44%",16,20,"7,11","4,14","8,72","4,89","3,83",586,556,311,10,21,20911,4683,235,20924
chaoyue,79,35,44,"44,30%",36,43,"6,53","4,57","9,19","4,36","3,44",567,575,289,12,21,18977,3373,242,18754
ChuaN,59,26,33,"44,07%",33,26,"2,83","4,92","12,34","3,46","3,09",283,334,72,1,17,8380,366,805,10289
MelodyLovers,50,22,28,"44,00%",24,26,"2,24",5,"12,32","3,18","2,91",274,336,56,2,16,8122,424,2124,8553
lwy,50,22,28,"44,00%",24,26,"4,12","6,18","10,88","2,68","2,43",400,447,168,7,19,14905,754,648,12390
demons,132,58,74,"43,94%",52,80,"3,08","5,54","12,33","2,96","2,78",273,317,52,2,16,8369,361,1452,9088
Noblewingz,41,18,23,"43,90%",16,25,"8,15","5,8","7,2","3,05","2,64",514,548,257,13,20,22911,1889,659,17501
qojqva,80,35,45,"43,75%",52,28,"6,09","3,86","9,21","4,71","3,96",564,558,284,8,22,19287,3971,42,19582
Syeonix,87,38,49,"43,68%",50,37,"6,74","3,2","9,97","6,01","5,23",498,502,245,14,20,18366,3822,235,17316
Madara,156,68,88,"43,59%",75,81,"7,22","4,61","10,49","4,46","3,84",532,560,284,12,22,20755,4405,1603,19170
ChYuaN,39,17,22,"43,59%",22,17,"6,62","4,67","10,59","4,3","3,69",518,534,249,14,21,19174,3108,697,17363
ThuG,154,67,87,"43,51%",74,80,"8,03","4,58","9,36","4,2","3,8",524,571,268,12,22,22228,2573,465,18208
Xcalibur,76,33,43,"43,42%",36,40,"7,68","4,17","8,7","4,65","3,93",562,558,310,12,22,21034,4575,518,19996
Roddgee,76,33,43,"43,42%",42,34,"2,76","6,43","13,97","2,92","2,6",305,358,70,2,17,8993,328,912,9821
Maybe Next Time,155,67,88,"43,23%",74,81,"3,13","5,97","13,1","3,04","2,72",288,359,58,4,17,9370,204,186,9901
xiaogongzhu,44,19,25,"43,18%",20,24,"3,27","5,52","12,23","2,88","2,81",275,341,58,3,16,8738,270,147,8815
Skylark,153,66,87,"43,14%",73,80,"4,03","5,84","12,66","3,35","2,86",390,444,164,7,19,13580,1779,900,13170
Zayac,96,41,55,"42,71%",62,34,"2,86","7,77","12,72","1,99","2,01",262,333,48,3,16,9208,646,811,8873
rmN-,89,38,51,"42,70%",46,43,"2,72","6,52","12,26","2,61","2,3",304,356,81,2,17,9291,834,555,10341
Teehee,82,35,47,"42,68%",45,37,"7,38","4,05","8,73","4,68","3,98",539,536,260,18,21,22122,3087,259,18779
garter,68,29,39,"42,65%",38,30,"7,9","4,28","9,04","4,38","3,96",514,561,252,11,21,20316,3083,361,17342
??????????,54,23,31,"42,59%",27,27,"4,78","4,63","8,61","3,31","2,89",480,503,213,14,19,15793,2773,341,15181
Wenn,54,23,31,"42,59%",33,21,"3,31","5,89","12,81","3,21","2,74",364,435,141,4,19,11616,475,1555,13147
James,101,43,58,"42,57%",34,67,"7,33","5,89","9,58","3,41","2,87",475,518,252,10,21,23958,2042,414,18023
yaNG,47,20,27,"42,55%",27,20,"3,77","5,4","12,74","3,26","3,06",298,348,66,2,17,9212,205,575,10266
SsaSpartan,153,65,88,"42,48%",73,80,"3,14","7,42","13,43","2,53","2,23",269,315,57,3,16,9509,432,2406,9408
Cys,73,31,42,"42,47%",26,47,"2,64","4,67","11,56","3,33","3,04",261,297,53,2,15,7945,629,1025,7979
Akke,38,16,22,"42,11%",16,22,"2,74","5,18","13,08","3,34","3,05",255,309,38,2,16,7934,247,1887,8550
Sylar,50,21,29,"42,00%",21,29,"7,54","4,8","9,06","3,88","3,46",534,569,286,9,21,19251,4252,104,19075
eskillz,50,21,29,"42,00%",25,25,"2,66","5,5","13,66","3,73","2,97",314,356,101,6,18,11773,374,613,10612
Timado,141,59,82,"41,84%",65,76,"7,17","3,8","7,79","4,5","3,94",541,558,280,14,21,21131,3407,170,19152
ritsu,41,17,24,"41,46%",9,32,"5,63","3,66","7,9","3,93","3,7",504,537,271,8,20,15106,3374,296,17680
Kim0,140,58,82,"41,43%",55,85,"2,54","7,04","11,97","2,21","2,06",268,336,60,2,17,9138,380,597,9786
Ditya Ra,46,19,27,"41,30%",25,21,"6,59","4,76","10,26","4,11","3,54",513,485,267,9,21,20714,3385,944,18979
